legid,reconstructed_duration
#224:47286,676
#225:47276,2218
#222:47298,1718
#223:47293,2051
#225:47277,719
#227:13225,537
#222:47299,2447
#223:47294,135
#224:47288,425
#228:13215,900
#225:47278,598
#222:47300,1108
#229:13209,806
#223:47295,561
#224:47813,1132
#225:47803,1539
#226:13376,576
#222:47825,319
#25:7607,318
#29:1954,442
#22:7682,2259
#22:7750,2773
#24:7801,1699
#26:2073,278
#25:7777,499
#23:8017,279
#26:2125,508
#24:7987,273
#23:8434,934
#25:8376,888
#22:8454,2522
#24:8403,525
#26:2255,363
#25:8377,407
#22:8455,542
#23:8435,2801
#24:8404,536
#27:2230,258
#25:8378,673
#28:2206,377
#22:8456,386
#29:2179,1153
#23:8436,924
#24:8405,940
#26:2256,738
#25:8379,728
#22:8734,821
#28:2274,562
#23:8714,799
#25:8656,3505
#24:8682,695
#23:8713,1223
#22:8733,619
#25:8655,2927
#24:8681,2712
#22:8732,2488
#27:2298,860
#23:8712,221
#24:30942,331
#27:8732,243
#25:30898,263
#22:31028,597
#22:31027,2317
#22:31026,2414
#26:8775,754
#23:30993,409
#23:7639,517
#22:7702,272
#23:7702,1942
#24:8008,923
#25:7611,393
#24:7774,524
#25:7750,655
#22:7825,131
#29:1991,524
#23:7805,131
#26:2066,131
#24:7775,131
#22:7670,182
#23:7650,339
#26:2027,442
#24:7620,409
#25:7596,91
#22:7671,280
#29:1998,592
#23:7829,397
#23:7830,593
#24:7800,91
#22:7851,907
#24:8049,3744
#26:2144,510
#23:8080,184
#24:8051,3252
#28:2096,310
#25:8027,150
#25:7997,468
#25:8022,624
#23:8077,684
#27:2119,786
#25:8023,510
#28:2095,673
#22:8098,1127
#23:8078,764
#22:8252,536
#29:2128,1145
#23:8232,402
#26:2203,420
#24:8202,178
#27:2179,246
#25:8178,180
#28:2155,432
#22:8253,774
#29:2129,466
#23:8233,894
#24:8206,402
#25:8182,380
#27:2181,392
#23:8237,268
#25:8426,618
#22:8505,386
#26:2266,393
#23:8485,1804
#27:2241,958
#24:8454,542
#24:8455,349
#23:8587,1040
#22:8607,700
#24:8555,222
#25:8529,1301
#24:7655,1383
#223:36879,572
#228:10318,1673
#224:36875,316
#22:7701,131
#23:7681,1311
#25:7704,3539
#22:7814,198
#28:2013,710
#23:7794,595
#22:7824,810
#28:2017,295
#23:7804,224
#23:7851,424
#26:2076,1108
#24:7838,592
#22:7888,334
#22:7892,371
#29:2007,315
#23:7872,505
#25:7817,1689
#25:7963,725
#27:2101,430
#23:8018,546
#29:2109,262
#24:8158,2093
#22:8405,673
#24:8355,764
#22:8436,494
#23:8463,773
#26:2262,450
#24:8432,820
#27:2237,512
#25:8406,1700
#29:2194,1183
#24:8470,2034
#24:8542,592
#23:9052,3729
#25:9030,887
#27:2402,241
#22:9108,1868
#23:9088,141
#25:9120,2308
#29:2395,544
#22:9287,2050
#26:2476,739
#25:9239,1854
#22:9604,2255
#23:9584,456
#27:2524,365
#22:9605,819
#28:2511,325
#23:9638,273
#25:9572,1268
#22:11258,1637
#27:3023,676
#23:11238,230
#24:11204,1495
#25:11176,1033
#28:2999,555
#23:11240,1976
#25:11249,1946
#27:3042,439
#222:36630,594
#222:36751,1089
#223:36746,709
#226:10281,874
#224:36742,527
#25:7754,498
#27:2043,271
#22:7829,498
#222:40224,605
#24:8366,147
#28:2198,539
#25:8340,465
#25:7964,873
#22:8418,237
#22:8479,1244
#26:2261,940
#23:8459,609
#25:9259,2268
#25:8694,651
#24:9287,526
#24:9504,828
#23:9500,3619
#23:8965,1704
#27:2372,131
#25:8908,1049
#24:8946,918
#26:2401,131
#22:8998,3408
#23:8978,786
#25:8925,393
#23:8956,262
#25:8942,786
#27:2380,786
#23:8208,499
#24:8178,1973
#29:2118,821
#25:8154,1175
#22:8229,1630
#22:8309,1222
#27:2195,400
#23:8289,1403
#28:2171,320
#25:8235,317
#29:2145,649
#23:8290,1446
#24:8260,454
#22:8481,1041
#27:2236,443
#23:8461,316
#28:2212,491
#24:8430,905
#25:8404,90
#29:2185,2178
#23:8462,271
#24:8431,353
#25:8461,508
#28:2226,388
#23:8519,1355
#29:2199,471
#25:8462,724
#26:2276,761
#24:8489,181
#25:8463,723
#27:2251,406
#22:8541,441
#28:2945,1044
#25:11031,1384
#23:9104,545
#28:2380,2549
#25:9047,542
#22:9125,91
#23:9105,273
#22:11062,334
#26:2977,884
#24:11009,1491
#23:11043,115
#27:2950,1624
#24:11010,1809
#22:11064,136
#23:11044,403
#23:11057,490
#26:2983,790
#25:10997,2305
#22:11079,91
#27:2956,798
#23:11059,1446
#22:11080,348
#23:11056,564
#26:2982,767
#27:2955,427
#22:11270,2300
#25:10996,409
#28:2931,384
#23:11058,97
#29:2903,1163
#24:11025,2677
#23:11070,481
#22:10174,91
#29:2636,1428
#24:10122,1948
#23:10159,1361
#24:11056,954
