legid,ACT,CP,GT,WYR
#222:37782,0,2,5,0
#222:37783,0,1,1,0
#222:37784,0,4,4,0
#222:37785,0,1,2,0
#222:37801,0,0,1,0
#222:37828,0,0,0,-1
#222:37831,0,3,2,0
#222:37832,0,0,2,0
#222:37835,0,1,2,0
#222:37839,0,0,1,0
#222:37851,0,5,0,0
#222:37862,0,4,1,0
#222:37905,0,2,4,0
#222:37917,0,2,1,0
#222:37923,0,-2,1,0
#222:37924,0,0,0,0
#222:37926,0,-2,0,0
#222:37927,0,1,0,0
#222:37936,0,2,0,0
#222:37938,0,3,3,0
#222:37943,0,0,0,0
#222:37946,0,5,0,0
#222:37963,0,0,2,0
#222:37964,0,0,0,0
#222:37966,-1,0,0,0
#222:38035,1,5,1,0
#222:38038,1,5,0,0
#222:38040,0,3,0,0
#222:38042,1,5,8,2
#222:38044,1,2,4,0
#222:38045,1,1,4,3
#222:38059,-1,1,-1,0
#222:38063,0,1,0,0
#222:38067,0,-1,5,0
#222:38071,0,2,-3,0
#222:38072,0,0,1,0
#222:38083,0,0,2,0
#222:38085,0,0,1,0
#222:38096,1,0,0,0
#222:38101,0,0,7,0
#222:38111,1,1,7,0
#222:38118,0,3,0,0
#222:38124,0,2,3,0
#222:38131,0,0,0,0
#222:38164,0,0,1,0
#222:38166,0,1,0,0
#222:38181,1,1,0,0
#222:38195,0,0,0,0
#222:38230,0,-1,-2,0
#222:38232,0,0,0,0
#222:38238,0,0,0,0
#222:38244,1,4,4,-1
#222:38245,0,0,0,0
#222:38261,0,0,0,0
#222:38296,0,0,1,0
#222:38303,0,0,1,0
#222:38309,0,-3,-2,0
#222:38358,1,0,0,0
#222:38367,0,-2,2,0
#222:38371,-1,-6,1,0
#222:38374,1,3,0,0
#222:38375,-1,1,1,0
#222:38378,1,9,8,0
#222:38379,-1,3,2,0
#222:38402,-1,1,1,0
#222:38428,0,0,0,0
#222:38438,0,0,-1,0
#222:38474,0,0,0,1
#222:38477,0,0,0,0
#222:38480,0,2,6,0
#222:38481,-1,-1,1,0
#222:38487,1,5,2,0
#222:38515,0,-1,0,0
#222:38516,0,0,1,2
#222:38517,1,4,1,0
#222:38518,0,0,1,0
#222:38519,0,2,0,0
#222:38522,1,3,0,0
#222:38525,0,2,1,0
#222:38528,0,1,1,0
#222:38538,0,-1,2,0
#222:38548,1,-4,5,1
#222:38549,0,0,1,0
#222:38568,0,0,1,0
#222:38587,-1,1,1,0
#222:38601,0,0,1,0
#222:38607,-1,2,0,0
#222:38614,0,0,1,0
#222:38617,1,0,0,0
#222:38620,1,0,0,0
#222:38622,1,3,0,0
#222:38624,0,-2,0,0
#222:38625,1,0,0,0
#222:38630,1,11,9,0
#222:38640,0,0,0,0
#222:38641,0,0,0,0
#222:38642,0,6,2,0
#222:38698,0,0,0,0
#222:38719,1,5,4,1
#222:38721,0,-2,-1,0
#222:38722,0,3,0,0
#222:38756,1,0,0,0
#222:38776,0,-2,2,0
#222:38785,1,5,4,2
#222:38792,0,-2,-2,0
#222:38807,0,0,1,0
#222:38817,0,0,1,0
#222:38819,0,0,1,0
#222:38826,1,8,4,0
#222:38830,0,0,-1,0
#222:38841,0,0,0,0
#222:38859,0,-2,0,0
#222:38863,0,0,0,0
#222:38867,0,0,0,0
#222:38875,0,-3,-1,-1
#222:38877,0,0,1,0
#222:38879,0,0,1,0
#222:38880,0,0,1,0
#222:38881,-1,3,4,0
#222:38897,0,4,0,0
#222:38898,0,1,2,0
#222:38916,0,2,2,1
#222:38925,0,0,2,0
#222:38927,0,4,-2,0
#222:38929,1,11,8,0
#222:38930,1,11,8,0
#222:38941,0,1,1,0
#222:38943,0,0,0,0
#222:38950,0,-3,0,0
