legid,temperature_category,weather_group
#24:20947,cool,Clouds
#25:20904,cool,Clouds
#25:20900,cool,Clouds
#23:20990,cool,Clouds
#23:20987,cool,Clouds
#22:21019,cool,Clouds
#28:6219,cool,Clouds
#23:22341,cool,Clouds
#29:6182,cool,Clouds
#24:22294,cool,Clouds
#25:22683,cool,Clouds
#26:6428,cool,Clouds
#22:22806,cool,Clouds
#27:6388,cool,Clouds
#23:22774,cool,Clouds
#25:22676,cool,Clouds
#22:22799,cool,Clouds
#26:6425,cool,Clouds
#23:22767,cool,Clouds
#27:6385,cool,Clouds
#24:22720,cool,Clouds
#28:6348,cool,Clouds
#25:22677,cool,Clouds
#28:6350,cool,Clouds
#25:22681,cool,Clouds
#22:22384,cool,Clouds
#23:22339,cool,Clouds
#24:22292,cool,Clouds
#23:22764,cool,Clouds
#26:6424,cool,Clouds
#24:22717,cool,Clouds
#27:6384,cool,Clouds
#23:22763,cool,Clouds
#24:22716,cool,Clouds
#23:22762,cool,Clouds
#28:6346,cool,Clouds
#22:22794,cool,Clouds
#25:23542,cool,Clouds
#29:6597,cool,Clouds
#22:23665,cool,Clouds
#26:6713,cool,Clouds
#23:23633,cool,Clouds
#24:23586,cool,Clouds
#25:23543,cool,Clouds
#22:23666,cool,Clouds
#23:23634,cool,Clouds
#27:6673,cool,Clouds
#24:23587,cool,Clouds
#28:6635,cool,Clouds
#25:23544,cool,Clouds
#24:24099,cool,Clouds
#23:24270,cool,Clouds
#26:6876,cool,Clouds
#24:24222,cool,Clouds
#23:24549,cool,Clouds
#28:6864,cool,Clouds
#24:24500,cool,Clouds
#23:24548,cool,Clouds
#25:24451,cool,Clouds
#25:24701,cool,Clouds
#22:24827,cool,Clouds
#27:6989,cool,Clouds
#23:24795,cool,Clouds
#25:25418,cool,Clouds
#22:25543,cool,Clouds
#25:26275,cool,Clouds
#22:26401,cool,Clouds
#29:7395,cool,Clouds
#23:26369,cool,Clouds
#26:7513,cool,Clouds
#24:26320,cool,Clouds
#23:26370,cool,Clouds
#22:20056,cool,Clouds
#23:18691,cool,Clouds
#25:19935,cool,Clouds
#25:19936,cool,Clouds
#24:19981,cool,Clouds
#28:5538,cool,Clouds
#22:20061,cool,Clouds
#22:20059,cool,Clouds
#23:20027,cool,Clouds
#26:5613,cool,Clouds
#25:19938,cool,Clouds
#23:19999,cool,Clouds
#22:20021,cool,Clouds
#25:19895,cool,Clouds
#23:19984,cool,Clouds
#25:19894,cool,Clouds
#23:19983,cool,Clouds
#23:18393,cool,Clouds
#22:19596,cool,Clouds
#23:19564,cool,Clouds
#27:5461,cool,Clouds
#22:19791,cool,Clouds
#23:19759,cool,Clouds
#22:18414,cool,Clouds
