legid,act_Accompanying,act_Browsing,act_Cycling,act_Driving,act_Eating,act_Listening,act_Other,act_PersonalCare,act_ReadingDevice,act_ReadingPaper,act_Relaxing,act_Talking,act_Thinking,act_Walking,act_Watching,activity_count
#22:11426,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,3
#22:11428,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
#22:11434,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,2
#22:11435,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
#22:11437,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
#22:11445,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
#22:11447,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,2
#22:11450,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
#22:11453,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1
#22:11485,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2
#22:11486,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1
#22:11487,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
#22:11490,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1
#22:11492,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1
#22:11493,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1
#22:11498,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1
#22:11501,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
#22:11505,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
#22:11508,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1
#22:11510,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,2
#22:11512,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2
#22:11513,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2
#22:11514,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2
#22:11515,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2
#22:11517,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
#22:11519,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1
#22:11524,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1
#22:11531,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,3
#22:11536,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,3
#22:11539,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,2
#22:11541,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1
#22:11544,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1
#22:11545,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
#22:11547,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1
#22:11548,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1
#22:11552,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
#22:11553,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,4
#22:11563,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,3
#22:11567,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,3
