tripid,mood_rating,did_you_have_to_arrive
#33:7426,5.0,1.0
#31:7518,4.0,0.0
#32:7474,4.0,0.0
#30:7558,3.0,1.0
#33:7443,4.0,0.0
#31:7522,4.0,0.0
#30:7562,3.0,1.0
#30:7585,4.0,0.0
#32:7471,4.0,1.0
#31:7525,4.0,0.0
#33:7446,5.0,1.0
#32:7473,3.0,0.0
#33:7497,5.0,1.0
#31:7528,2.0,0.0
#32:7475,4.0,0.0
#32:7495,5.0,1.0
#30:7572,4.0,0.0
#33:7458,3.0,0.0
#33:7444,3.0,0.0
#32:7478,4.0,0.0
#31:7577,2.0,0.0
#31:7529,3.0,1.0
#31:7540,4.0,1.0
#30:7866,4.0,0.0
#30:7592,4.0,1.0
#32:7504,5.0,1.0
#32:7482,4.0,1.0
#31:7600,5.0,0.0
#30:7571,4.0,0.0
#33:7486,-1.0,0.0
#32:7587,4.0,0.0
#31:8139,3.0,1.0
#32:7496,5.0,0.0
#32:7501,3.0,0.0
#31:7828,3.0,0.0
#31:7549,3.0,0.0
#30:7581,3.0,0.0
#30:7586,4.0,0.0
#30:7590,4.0,0.0
#30:7598,3.0,0.0
#33:7587,5.0,0.0
#31:7651,5.0,0.0
#30:7594,5.0,1.0
#33:7522,5.0,1.0
#32:7503,3.0,0.0
#33:7559,-1.0,0.0
#30:7709,3.0,0.0
#33:7473,3.0,1.0
#30:7653,4.0,1.0
#32:7513,3.0,1.0
#30:7597,4.0,0.0
#30:7595,5.0,1.0
#30:7593,3.0,1.0
#31:7575,5.0,1.0
#32:7502,3.0,0.0
#30:7604,2.0,1.0
#33:7517,4.0,1.0
#33:7481,4.0,1.0
#32:7541,4.0,0.0
#31:7554,3.0,1.0
#33:7963,3.0,0.0
#32:7512,4.0,0.0
#30:7596,4.0,0.0
#32:7509,4.0,1.0
#32:7507,4.0,0.0
#32:7514,4.0,1.0
#30:7647,4.0,0.0
#30:7629,3.0,0.0
#33:7480,4.0,0.0
#30:7600,4.0,0.0
#30:7609,3.0,1.0
#33:7513,5.0,1.0
#30:7695,3.0,0.0
#30:8082,3.0,0.0
#31:7570,3.0,1.0
#31:7616,4.0,0.0
#33:7492,4.0,0.0
#30:7608,3.0,1.0
#32:7853,5.0,1.0
#31:7614,3.0,1.0
#31:7608,4.0,0.0
#31:7571,4.0,0.0
#32:7517,3.0,1.0
#30:7635,3.0,1.0
#30:7669,3.0,1.0
#33:7557,3.0,1.0
#31:7782,5.0,0.0
#32:7523,3.0,0.0
#33:7620,3.0,0.0
#32:7529,3.0,1.0
#30:7615,3.0,0.0
#33:7494,4.0,0.0
#31:7684,4.0,1.0
#33:7539,4.0,0.0
#32:7591,5.0,0.0
#30:7655,3.0,0.0
#33:7498,5.0,0.0
#33:7634,3.0,1.0
#30:8344,5.0,1.0
#32:7519,4.0,1.0
#33:7493,5.0,0.0
#30:7610,4.0,0.0
#33:7529,3.0,0.0
#33:7500,4.0,0.0
#31:7578,4.0,1.0
#33:7495,5.0,0.0
#33:7525,3.0,1.0
#32:7524,4.0,-1.0
#32:7522,5.0,0.0
#31:7594,2.0,1.0
#33:7704,5.0,0.0
#32:7521,5.0,1.0
#30:7696,3.0,0.0
#30:8080,3.0,0.0
#32:7567,5.0,0.0
#30:7646,4.0,0.0
#30:7710,4.0,1.0
#30:7756,5.0,0.0
#30:7753,4.0,1.0
#30:7720,5.0,0.0
#31:7576,3.0,1.0
#30:7618,3.0,1.0
#33:7499,4.0,0.0
#32:7528,4.0,0.0
#31:7595,3.0,0.0
#30:7620,2.0,0.0
#32:7527,4.0,1.0
#31:7587,4.0,0.0
#33:7514,2.0,1.0
#33:7505,5.0,1.0
#32:7535,5.0,0.0
#32:7539,4.0,1.0
#30:7619,4.0,1.0
#31:7597,5.0,0.0
#32:7543,3.0,1.0
#31:7606,5.0,1.0
#31:7591,5.0,0.0
#33:7556,5.0,1.0
#30:7625,2.0,0.0
#31:7596,1.0,0.0
#31:7950,3.0,1.0
#32:7536,3.0,1.0
#30:7634,3.0,1.0
#31:7607,5.0,0.0
#31:7648,4.0,0.0
#30:7636,4.0,1.0
#32:7606,3.0,1.0
#31:7599,3.0,1.0
#30:7650,4.0,0.0
#31:7637,5.0,1.0
#31:7629,4.0,1.0
#30:7662,4.0,0.0
#30:7643,3.0,0.0
#31:7605,4.0,1.0
